date,baseline_week,interval_idx,week_used,rating,used_unpatched,used_patched
2025-06-28,4,8,4,good,33,27
2025-06-29,4,1,4,good,34,26
2025-06-29,4,2,4,good,34,26
2025-06-29,4,3,4,good,34,26
2025-06-29,4,4,4,good,34,26
2025-06-29,4,5,4,good,34,26
2025-06-29,4,6,4,good,34,26
2025-06-29,4,7,4,good,34,26
2025-06-29,4,8,4,good,34,26
2025-07-02,4,1,4,good,35,25
2025-07-02,4,2,4,good,35,25
2025-07-02,4,3,4,good,35,25
2025-07-02,4,4,4,good,35,25
2025-07-02,4,5,4,good,35,25
2025-07-02,4,6,4,good,35,25
2025-07-02,4,7,4,good,35,25
2025-07-02,4,8,4,good,35,25
2025-07-03,4,1,4,good,36,24
2025-07-03,4,2,4,good,36,24
2025-07-03,4,3,4,good,36,24
2025-07-03,4,4,4,good,36,24
2025-07-03,4,5,4,good,36,24
2025-07-03,4,6,4,good,36,24
2025-07-03,4,7,4,good,36,24
2025-07-03,4,8,4,good,36,24
